NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
199,재단법인 아산사회복지재단 정읍아산병원,종합병원,063-530-6000,56153,"전북특별자치도 정읍시 충정로 606-22, (용계동)",http://www.jeh.or.kr/jp/index.do
200,대구가톨릭대학교 칠곡가톨릭병원,종합병원,053-320-2500,41438,"대구광역시 북구 칠곡중앙대로 440, (읍내동)",http://www.tcmcch.co.kr/
201,대구의료원,종합병원,053-560-7575,41845,"대구광역시 서구 평리로 157, (중리동)",http://www.daegumc.co.kr
202,의료법인구의료재단 구병원,종합병원,053-560-9114,42644,"대구광역시 달서구 감삼북길 141, (감삼동)",http://www.gooh.co.kr
203,더블유병원,종합병원,053-550-5000,42642,"대구광역시 달서구 달구벌대로 1632, 더블유병원 (감삼동)",
204,계명대학교대구동산병원,종합병원,053-250-8114,41931,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",
205,곽병원,종합병원,053-252-2401,41919,"대구광역시 중구 국채보상로 531, (수동)",http://www.kwakh.co.kr/
206,대구파티마병원,종합병원,053-1688-7770,41199,"대구광역시 동구 아양로 99, (신암동)",http://www.fatima.or.kr
207,대구굿모닝병원,종합병원,053-620-9100,42406,"대구광역시 남구 성당로 224, (대명동)",
208,삼일병원,종합병원,053-659-3100,42818,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",
209,나사렛종합병원,종합병원,053-643-1400,42784,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",
210,드림종합병원,종합병원,053-640-8800,42474,"대구광역시 남구 대명로 153, (대명동)",
211,의료법인석천재단고창병원,종합병원,063-560-5600,56436,"전북특별자치도 고창군 고창읍 화신1길 9, (고창읍)",http://www.gchospital.net/main.php
212,강남종합병원,종합병원,053-980-9000,41145,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",
213,전북특별자치도 남원의료원,종합병원,063-620-1114,55726,"전북특별자치도 남원시 충정로 365, (고죽동)",http://www.namwonmed.or.kr
214,한국보훈복지의료공단 대구보훈병원,종합병원,053-630-7000,42835,"대구광역시 달서구 월곡로 60, (도원동)",http://daegu.bohun.or.kr
215,(재)미리내천주성삼성직수도회천주성삼병원,종합병원,053-790-1000,42274,"대구광역시 수성구 달구벌대로 3190, (신매동, 천주성삼병원)",
216,영남대학교의과대학부속영천병원,종합병원,054-338-9000,38840,"경상북도 영천시 오수1길 10, (오수동)",http://yumc.ac.kr/yc/00_main/main.htm
217,의료법인 서명의료재단 세명종합병원,종합병원,053-819-8800,38619,"경상북도 경산시 경안로 208, (중방동)",http://www.smhospital.kr
218,의료법인 근원의료재단 경산중앙병원,종합병원,053-715-0100,38646,"경상북도 경산시 경안로 11,  (백천동)",
219,영광종합병원,종합병원,061-350-8091,57035,"전라남도 영광군 영광읍 와룡로 3, (영광읍)",http://www.ygmc.co.kr/
220,의료법인거명의료재단 영광기독병원,종합병원,061-350-3000,57044,"전라남도 영광군 영광읍 신남로 265, (영광읍)",
221,첨단종합병원,종합병원,062-601-8000,62274,"광주광역시 광산구 첨단중앙로170번길 59,  (쌍암동)",http://www.cheomdanhosp.co.kr
222,광주희망병원,종합병원,062-608-6000,61019,"광주광역시 북구 하서로 429,  (용두동)",
223,광주보훈병원,종합병원,062-602-6114,62284,"광주광역시 광산구 첨단월봉로 99,  (산월동)",http://gwangju.bohun.or.kr
224,광주일곡병원,종합병원,062-608-7000,61040,"광주광역시 북구 양일로 309,  (일곡동)",
225,KS병원,종합병원,062-975-9000,62248,"광주광역시 광산구 왕버들로 220,  (수완동)",http://www.kshosp.com
226,광주수완병원,종합병원,062-958-1111,62247,"광주광역시 광산구 임방울대로 370,  (수완동)",
227,광주현대병원,종합병원,062-570-0114,61063,"광주광역시 북구 설죽로 291,  (용봉동)",
228,운암한국병원,종합병원,062-608-8000,61266,"광주광역시 북구 북문대로 191,  (운암동)",
229,광주센트럴병원,종합병원,062-950-9700,62305,"광주광역시 광산구 수완로 6-0,  A,B,C동 (신가동)",http://www.gwangjucentralhospital.co.kr/
230,광주병원,종합병원,062-260-7100,61171,"광주광역시 북구 면앙로139번길 51,  (두암동)",
231,신가병원,종합병원,062-610-8100,62316,"광주광역시 광산구 목련로 316,  (신가동)",http://www.singahospital.co.kr/
232,하남성심병원,종합병원,062-953-6000,62338,"광주광역시 광산구 용아로 259,  (산정동)",http://www.sungshim.co.kr/
233,선한병원,종합병원,062-466-1000,61917,"광주광역시 서구 무진대로 975-0,  (광천동)",
234,해피뷰병원,종합병원,062-519-9000,61239,"광주광역시 북구 경열로 216-0, 해피뷰병원",
235,광주한국병원,종합병원,062-380-3000,61967,"광주광역시 서구 월드컵4강로 223,  (쌍촌동)",
236,상무병원,종합병원,062-600-7000,61948,"광주광역시 서구 상무자유로 181-7, (치평동)",http://www.sangmoohospital.co.kr/
237,에스포항병원,종합병원,054-289-9000,37659,"경상북도 포항시 남구 희망대로 352,  (이동)",
238,서남대학교병원,종합병원,062-224-0671,61488,"광주광역시 동구 천변우로 415,  (불로동)",
239,미래로21병원,종합병원,062-450-1000,62045,"광주광역시 서구 화운로 1,  (화정동)",
240,광주기독병원,종합병원,062-650-5000,61661,"광주광역시 남구 양림로 37,  (양림동)",http://www.kch.or.kr
241,동아병원,종합병원,062-650-2500,61656,"광주광역시 남구 대남대로 238,  (백운동)",
242,의료법인은성의료재단좋은선린병원,종합병원,054-245-5000,37725,"경상북도 포항시 북구 대신로 43,  (대신동)",
243,서광병원,종합병원,062-600-8000,62007,"광주광역시 서구 금화로59번길 6,  (금호동)",http://www.suhgwang2010.com
244,경상북도포항의료원,종합병원,054-247-0551,37688,"경상북도 포항시 북구 용흥로 36,  (용흥동)",http://www.pmc.or.kr
245,포항성모병원,종합병원,054-272-0151,37661,"경상북도 포항시 남구 대잠동길 17,  (대잠동)",www.pohangsmh.co.kr/
246,광주씨티병원,종합병원,062-460-7000,61710,"광주광역시 남구 서문대로654번길 5,  (진월동)",http://www.ct119.co.kr/
247,의료법인한성재단포항세명기독병원,종합병원,054-275-0005,37816,"경상북도 포항시 남구 포스코대로 351,  (대도동)",http://www.phgidok.com/
248,동국대학교의과대학경주병원,종합병원,054-748-9300,38067,"경상북도 경주시 동대로 87,  (석장동)",http://www.dumc.or.kr/index01.jsp
249,빛고을전남대학교병원,종합병원,062-670-9421,61748,"광주광역시 남구 덕남길 80-0,  1동 (덕남동,전남대학교병원류마티스전문질환센터)",
250,나주종합병원,종합병원,061-330-6114,58251,"전라남도 나주시 영산로 5419, 나주종합병원",
251,제일병원,종합병원,055-750-7123,52709,"경상남도 진주시 진주대로 885, (강남동)",http://www.chinjujeil.co.kr
252,의료법인 문병욱의료재단 진주고려병원,종합병원,055-751-2500,52726,"경상남도 진주시 동진로 2, (칠암동, 진주고려병원)",http://jinjukoreahospital.co.kr/
253,빛가람종합병원,종합병원,061-820-0820,58323,"전라남도 나주시 정보화길 49-0,  (빛가람동)",
254,한일병원,종합병원,055-759-7777,52818,"경상남도 진주시 범골로 17, 한일병원 지하1 1~7층 (충무공동)",
255,의료법인대송의료재단 무안병원,종합병원,061-450-3111,58532,"전라남도 무안군 무안읍 몽탄로 65, (무안읍)",http://www.muangh.co.kr
256,의료법인청아의료재단청아병원,종합병원,055-230-1500,51230,"경상남도 창원시 마산회원구 내서읍 광려천서로 67, (청아병원)",http://www.camc.co.kr/
257,서울산보람병원,종합병원,052-255-7114,44948,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",http://eunyang.imc-boram.co.kr/
258,전라남도 순천의료원,종합병원,061-759-9440,57940,"전라남도 순천시 서문성터길 2,  (매곡동)",
259,성가롤로병원,종합병원,061-720-2000,57931,"전라남도 순천시 순광로 221,  (조례동)",http://www.stcarollo.or.kr
260,근로복지공단 순천병원,종합병원,061-720-7575,57947,"전라남도 순천시 조례1길 24, (조례동)",www.kcomwel.or.kr/hospital/suncheon/
261,순천중앙병원,종합병원,061-749-5000,57956,"전라남도 순천시 장명로 5,  (장천동)",http://www.sunchon-jungang.co.kr
262,의료법인청언의료재단 순천제일병원,종합병원,061-720-3500,57968,"전라남도 순천시 기적의도서관1길 3, (조례동)",http://www.scjh.co.kr/
263,의료법인한국의료재단 순천한국병원,종합병원,061-740-5000,57991,"전라남도 순천시 우명길 42,  (연향동)",http://www.hankook.or.kr
264,의료법인현경의료재단 광양서울병원,종합병원,061-795-9931,57773,"전라남도 광양시 진등길 93,  (마동)",
265,창원파티마병원,종합병원,055-270-1000,51394,"경상남도 창원시 의창구 창이대로 45-45, (명서동)",https://fatimahosp.co.kr/
266,경상남도마산의료원,종합병원,055-249-1000,51736,"경상남도 창원시 마산합포구 3·15대로 231, (중앙동3가)",http://www.mmc.or.kr
267,의료법인석영의료재단창원제일종합병원,종합병원,055-223-9000,51732,"경상남도 창원시 마산합포구 3·15대로 238, (중앙동3가)",http://www.mjeilh.co.kr/
268,광양사랑병원,종합병원,061-797-7000,57788,"전라남도 광양시 공영로 71,  (중동)",http://www.gysarang.com/
269,의료법인합포의료재단에스엠지연세병원,종합병원,055-243-0100,51740,"경상남도 창원시 마산합포구 3·15대로 76, (월남동2가, 합포의료재단)",www.mysh.co.kr/
270,창원한마음병원,종합병원,055-225-0000,51139,"경상남도 창원시 의창구 용동로57번길 8, (사림동)",http://www.hanheart.co.kr
271,근로복지공단 창원병원,종합병원,055-280-7619,51524,"경상남도 창원시 성산구 창원대로 721, (중앙동)",http://www.kcomwel.or.kr/hospital/changwon/
272,울산엘리야병원,종합병원,052-290-2100,44228,"울산광역시 북구 호계로 285, (호계동)",
273,의료법인 은성의료재단 좋은삼정병원,종합병원,052-220-7500,44629,"울산광역시 남구 북부순환도로 51, (무거동)",
274,의료법인 동강의료재단 동강병원,종합병원,052-241-1114,44455,"울산광역시 중구 태화로 239, (태화동)",http://www.dkmc.or.kr
275,창원경상국립대학교병원,종합병원,055-214-2000,51472,"경상남도 창원시 성산구 삼정자로 11, (성주동, 창원경상대학교병원)",
276,의료법인 송은의료재단 울산시티병원,종합병원,052-280-9000,44238,"울산광역시 북구 산업로 1007, (연암동)",
277,의료법인환명의료재단 조은금강병원,종합병원,055-330-0300,50880,"경상남도 김해시 김해대로 1814-37, (삼계동)",http://www.ggmc.or.kr/
278,의료법인 동강의료재단 동천동강병원,종합병원,052-702-3114,44495,"울산광역시 중구 외솔큰길 215, (남외동, 동천동강병원)",
279,울산병원,종합병원,052-259-5000,44686,"울산광역시 남구 월평로171번길 13, (신정동)",http://www.ush.kr
280,의료법인 정안의료재단 중앙병원,종합병원,052-226-1100,44667,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",
281,강일병원,종합병원,055-822-0100,50905,"경상남도 김해시 가락로 359, (구산동)",
282,베데스다복음병원,종합병원,055-384-9901,50576,"경상남도 양산시 신기로 28, (신기동)",http://www.bdsh.co.kr
283,의료법인갑을의료재단 갑을장유병원,종합병원,055-310-6000,50971,"경상남도 김해시 장유로 167-13, (부곡동)",www.kbhospital.com/
284,연세에스병원,종합병원,055-548-7700,51659,"경상남도 창원시 진해구 해원로32번길 13, (이동)",
285,의료법인목포구암의료재단 목포중앙병원,종합병원,061-280-3000,58615,"전라남도 목포시 영산로 623,  (석현동)",
286,의료법인숭인의료재단 김해복음병원,종합병원,055-330-8888,50923,"경상남도 김해시 활천로 33, (삼정동)",
287,의료법인해민의료재단 세안종합병원,종합병원,061-260-6700,58618,"전라남도 목포시 고하대로 795-2, (연산동)",http://www.se-an.kr/
288,목포한국병원,종합병원,061-270-5800,58643,"전라남도 목포시 영산로 483,  (상동)",http://www.hank.co.kr
289,목포기독병원,종합병원,061-280-7500,58666,"전라남도 목포시 백년대로 303,  (상동)",http://www.mch.co.kr
290,목포시의료원,종합병원,061-260-6500,58701,"전라남도 목포시 이로로 18,  (용해동)",http://www.mokpomc.or.kr
291,여천전남병원,종합병원,061-690-6000,59641,"전라남도 여수시 무선로 95,  (선원동)",
292,의료법인한마음의료재단 여수제일병원,종합병원,061-689-8123,59677,"전라남도 여수시 쌍봉로 70,  (학동)",
293,구포성심병원,종합병원,051-330-2001,46581,"부산광역시 북구 낙동대로 1786, (구포동)",
294,의료법인 인당의료재단 부민병원,종합병원,051-330-3000,46555,"부산광역시 북구 만덕대로 59, (덕천동)",www.bumin.co.kr/busan/
295,여수전남병원,종합병원,061-640-7128,59718,"전라남도 여수시 좌수영로 49,  (광무동)",http://www.yscnhosp.com
296,동남권원자력의학원원자력병원,종합병원,051-720-5114,46033,"부산광역시 기장군 장안읍 좌동길 40, (장안읍)",http://www.dirams.re.kr
297,의료법인 우범의료재단 장흥종합병원,종합병원,061-862-8300,59325,"전라남도 장흥군 장흥읍 흥성로 74, 74",
298,의료법인 광혜의료재단 광혜병원,종합병원,051-503-2111,47821,"부산광역시 동래구 충렬대로 96, (온천동, 광혜병원)",http://www.gwanghyehospital.com
299,대동병원,종합병원,051-554-1233,47737,"부산광역시 동래구 충렬대로 187, (명륜동)",http://www.ddh.co.kr/
300,부산광역시의료원,종합병원,051-507-3000,47527,"부산광역시 연제구 월드컵대로 359, (거제동, 1동, 5동일부)",http://www.busanmc.or.kr
301,한국보훈복지의료공단 부산보훈병원,종합병원,051-601-6000,46996,"부산광역시 사상구 백양대로 420, (주례동)",http://busan.bohun.or.kr
302,의료법인은성의료재단좋은삼선병원,종합병원,051-322-0900,47007,"부산광역시 사상구 가야대로 326, 좋은삼선병원 (주례동)",http://www.samsun.or.kr
303,동래봉생병원,종합병원,051-531-6000,47889,"부산광역시 동래구 안연로109번길 27, (안락동)",http://www.bongseng.com/index.asp
304,의료법인 온그룹의료재단 온병원,종합병원,051-607-0114,47261,"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",http://www.onhospital.org
305,학교법인)동의병원,종합병원,051-867-5101,47227,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",http://www.demc.kr/
306,새통영병원,종합병원,055-646-6000,53034,"경상남도 통영시 무전7길 192, (무전동)",
307,학교법인 춘해병원,종합병원,051-638-8000,47352,"부산광역시 부산진구 중앙대로 605, 지상1층~지상9층 (범천동)",http://www.choonhae.or.kr/
308,좋은문화병원,종합병원,051-644-2002,48735,"부산광역시 동구 범일로 119, (범일동)",http://www.moonhwa.or.kr/
309,삼육부산병원,종합병원,242-9751,49230,"부산광역시 서구 대티로 170, (서대신동2가)",http://www.bah.kr
310,재단법인일신기독교선교회 일신기독병원,종합병원,051-630-0300,48724,"부산광역시 동구 정공단로 27, (좌천동)",http://www.ilsin.or.kr
311,의료법인정화의료재단 봉생기념병원,종합병원,051-664-4000,48775,"부산광역시 동구 중앙대로 401, (좌천동, 봉생병원)",http://www.bongseng.co.kr/index.asp
312,의료법인 센텀의료재단 센텀종합병원,종합병원,051-750-5000,48243,"부산광역시 수영구 수영로679번길 8, (광안동)",
313,비에이치에스한서병원,종합병원,051-756-0081,48253,"부산광역시 수영구 수영로 615, (광안동)",http://www.hanseohospital.or.kr
314,의료법인영성의료재단 고흥종합병원,종합병원,061-835-6000,59535,"전라남도 고흥군 고흥읍 고흥로 1935, (고흥읍)",http://www.kgh.co.kr/
315,재단법인천주교부산교구유지재단 메리놀병원,종합병원,051-465-8801,48972,"부산광역시 중구 중구로 121, (대청동4가)",http://www.maryknoll.co.kr
316,의료법인 은성의료재단 좋은강안병원,종합병원,051-625-0900,48265,"부산광역시 수영구 수영로 493, (남천동)",http://gang-an.or.kr/index.php
317,의료법인 인당의료재단 해운대부민병원,종합병원,602-8000,48094,"부산광역시 해운대구 해운대로 584, (우동)",
318,인제대학교 해운대백병원,종합병원,051-797-0100,48108,"부산광역시 해운대구 해운대로 875, (좌동)",http://www.paik.ac.kr/haeundae/
319,영도병원,종합병원,051-414-8101,49036,"부산광역시 영도구 태종로 85, (대교동2가)",http://www.ydh.co.kr
320,의료법인 행도의료재단 해동병원,종합병원,051-412-6161,49035,"부산광역시 영도구 태종로 133, (봉래동3가)",
321,의료법인 성념의료재단맑은샘병원,종합병원,055-731-1240,53209,"경상남도 거제시 연초면 거제대로 4477, (연초면)",http://www.clearwell.kr/
322,부산성모병원(재단법인 천주교부산교구유지재단),종합병원,051-933-7114,48575,"부산광역시 남구 용호로232번길 25-14, (용호동)",http://bsm.or.kr
323,해남우리종합병원,종합병원,061-530-7000,59021,"전라남도 해남군 옥천면 해남로 597, (옥천면)",
324,의료법인 거붕 백병원,종합병원,055-733-0000,53290,"경상남도 거제시 계룡로5길 14, (상동동)",http://gbh.or.kr/
325,의료법인행촌의료재단 해남종합병원,종합병원,061-536-4116,59024,"전라남도 해남군 해남읍 해남로 45, (해남읍)",
326,의료법인 대우의료재단대우병원,종합병원,055-680-8114,53317,"경상남도 거제시 두모길 16-16, (두모동)",http://www.dwho.or.kr
327,의료법인 혜인의료재단 한국병원,종합병원,064-750-0000,63183,"제주특별자치도 제주시 서광로 193, (삼도일동)",http://www.hankookhospital.co.kr
328,한마음병원,종합병원,064-750-9000,63227,"제주특별자치도 제주시 연신로 52, (이도이동)",
329,의료법인 중앙의료재단 중앙병원,종합병원,064-786-7000,63109,"제주특별자치도 제주시 월랑로 91-0, 중앙병원",
330,제주한라병원,종합병원,064-740-5000,63127,"제주특별자치도 제주시 도령로 65,  (연동)",http://www.hallahosp.co.kr
331,제주대학교병원,종합병원,064-717-1114,63241,"제주특별자치도 제주시 아란13길 15-0,  0동 0층 0호 (아라일동,제주대학교병원)",http://www.jejunuh.co.kr/main.jsp
332,제주특별자치도 서귀포의료원,종합병원,064-730-3000,63585,"제주특별자치도 서귀포시 장수로 47, (동홍동)",http://www.smed.or.kr
